Расчет 1			Расчет 2			Расчет 3			Расчет 4			Расчет 5			Расчет 6			Расчет 7			Расчет 8			Расчет 9			Расчет 10			Расчет 11			Расчет 12			Расчет 13			Расчет 14			Расчет 15			Расчет 16			Расчет 17			Расчет 18			Расчет 19			Расчет 20			Расчет 21			Расчет 22	
54	20,28		54	23,41		54	26,08		54	28,27		54	30,02		54	31,45		54	33,94		54	35,55		54	37,39		54	38,38		54	39,01		22,05	20,28		22,05	24,36		22,05	28,36		22,05	32,13		22,05	35,5		22,05	38,5		22,05	44,3		22,05	48,42		22,05	53,49		22,05	56,33		22,05	58,22
55,2	20,28		55,2	23,44		55,2	26,15		55,2	28,37		55,2	30,15		55,2	31,61		55,2	34,14		55,2	35,79		55,2	37,67		55,2	38,68		55,2	39,33		22,54	20,28		22,54	24,37		22,54	28,38		22,54	32,16		22,54	35,56		22,54	38,6		22,54	44,47		22,54	48,66		22,54	53,82		22,54	56,72		22,54	58,66
56,4	20,28		56,4	23,47		56,4	26,21		56,4	28,47		56,4	30,28		56,4	31,76		56,4	34,35		56,4	36,03		56,4	37,95		56,4	38,99		56,4	39,66		23,03	20,28		23,03	24,37		23,03	28,39		23,03	32,2		23,03	35,62		23,03	38,69		23,03	44,63		23,03	48,9		23,03	54,16		23,03	57,12		23,03	59,1
57,6	20,28		57,6	23,5		57,6	26,28		57,6	28,57		57,6	30,41		57,6	31,92		57,6	34,56		57,6	36,28		57,6	38,25		57,6	39,3		57,6	39,99		23,52	20,28		23,52	24,37		23,52	28,4		23,52	32,23		23,52	35,68		23,52	38,78		23,52	44,81		23,52	49,14		23,52	54,5		23,52	57,53		23,52	59,55
58,8	20,28		58,8	23,54		58,8	26,35		58,8	28,67		58,8	30,54		58,8	32,08		58,8	34,77		58,8	36,53		58,8	38,54		58,8	39,63		58,8	40,33		24,01	20,28		24,01	24,38		24,01	28,42		24,01	32,26		24,01	35,74		24,01	38,87		24,01	44,98		24,01	49,39		24,01	54,85		24,01	57,95		24,01	60,02
60	20,28		60	23,57		60	26,42		60	28,78		60	30,68		60	32,24		60	34,99		60	36,78		60	38,85		60	39,96		60	40,68		24,5	20,28		24,5	24,38		24,5	28,43		24,5	32,29		24,5	35,8		24,5	38,96		24,5	45,15		24,5	49,63		24,5	55,21		24,5	58,37		24,5	60,49
61,2	20,28		61,2	23,6		61,2	26,48		61,2	28,88		61,2	30,81		61,2	32,41		61,2	35,21		61,2	37,04		61,2	39,16		61,2	40,3		61,2	41,04		24,99	20,28		24,99	24,38		24,99	28,44		24,99	32,32		24,99	35,85		24,99	39,05		24,99	45,33		24,99	49,89		24,99	55,57		24,99	58,81		24,99	60,98
62,4	20,28		62,4	23,63		62,4	26,55		62,4	28,98		62,4	30,95		62,4	32,57		62,4	35,43		62,4	37,31		62,4	39,48		62,4	40,65		62,4	41,41		25,48	20,28		25,48	24,38		25,48	28,45		25,48	32,35		25,48	35,91		25,48	39,14		25,48	45,5		25,48	50,14		25,48	55,94		25,48	59,26		25,48	61,48
63,6	20,28		63,6	23,67		63,6	26,62		63,6	29,09		63,6	31,09		63,6	32,74		63,6	35,66		63,6	37,58		63,6	39,81		63,6	41,01		63,6	41,79		25,97	20,28		25,97	24,39		25,97	28,46		25,97	32,38		25,97	35,97		25,97	39,23		25,97	45,68		25,97	50,4		25,97	56,32		25,97	59,71		25,97	61,99
64,8	20,28		64,8	23,7		64,8	26,69		64,8	29,19		64,8	31,22		64,8	32,91		64,8	35,9		64,8	37,86		64,8	40,14		64,8	41,38		64,8	42,19		26,46	20,28		26,46	24,39		26,46	28,47		26,46	32,41		26,46	36,03		26,46	39,32		26,46	45,86		26,46	50,66		26,46	56,71		26,46	60,18		26,46	62,52
